URL,Wilayah,Kecamatan,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Kamar Mandi,Tingkat/Lantai,Harga Jual,Terjual/Belum,Arah Hadap Rumah,Posisi Rumah,Lebar Jalan Depan Rumah (ROW),Carport,Fasilitas Tambahan,"Siap Huni 
(Y/N)","Furnish 
(Y/N)",Watt Listrik,Dekat Pasar,Dekat Sekolah,Dekat Puskesmas/RS,Dekat Mall,Dekat Tempat Ibadah,Dekat Makam,Dekat Club House,Dekat Jalan Raya Utama,Worth-it,Votes_WorthIt,Votes_NotWorthIt
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-di-jlwisata-bukit-mas-surabaya-barat,Barat,Lakarsantri,240,76,4,1,2.0,"Rp2,600,000,000",Belum,Selatan,,7 meter,2,1733333245.0,,,,,,,,,,,,Worth-It,6,4
https://www.pinhome.id/dijual/rumah-sekunder/unit/dijual-rumah-di-jl-villa-sentra-raya-citraland-surabaya,Barat,Sambikerep,290,136,4,1,2.0,"Rp3,500,000,000",Belum,Selatan,,7 meter,2,2333333220.0,,,,,,,,,,,,Worth-It,7,3
https://masuksini.com/detail-properti/MS-0028832/dijual-rumah-baru-2-lantai-di-bukit-palma-surabaya/,Selatan,Jambangan,120,170,4,4,2.0,"Rp2,150,000,000",Belum,Timur,,-,-,1433333273.0,Y,N,-,N,Y,N,N,N,N,N,N,Not Worth-It,3,7
https://masuksini.com/detail-properti/MS-0003638/rumah-belanda-dijual-di-jl-kh-mas-mansyur-ampel-surabaya/,Barat,Dukuh Pakis,840,785,4,2,1.0,"Rp32,000,000,000",Belum,Utara,,-,-,21333332950.0,N,N,-,Y,Y,Y,N,N,N,N,N,Not Worth-It,2,8
https://masuksini.com/detail-properti/MS-0001194/rumah-full-furnished-di-graha-family-surabaya/,Barat,Wiyung,345,600,5,5,2.0,"Rp16,000,000,000",Belum,Barat,,-,-,10666666474.0,N,Y,-,N,N,N,N,N,N,N,N,Not Worth-It,2,8
https://masuksini.com/detail-properti/MS-0029570/di-jual-rumah-semampir-tengah-via/,Utara,Semampir,100,150,4,3,2.0,"Rp1,350,000,000",Belum,Selatan,,-,1,899999948.7,N,Y,2200,N,N,N,N,N,N,N,N,Worth-It,5,5
https://masuksini.com/detail-properti/MS-0023136/rumah-dijual-di-perum-nirwana-eksekutif-rungkut-surabaya/,Timur,Rungkut,168,150,3,2,1.0,"Rp2,500,000,000",Belum,Timur,,-,-,1666666592.0,N,Y,-,N,N,Y,Y,N,N,N,N,Worth-It,5,5
https://masuksini.com/detail-properti/MS-0014489/rumah-2lantai-dengan-usaha-garmen-di-surabaya/,Pusat,Gubeng,395,300,4,2,2.0,"Rp2,700,000,000",Belum,Selatan,,-,-,1799999830.0,N,N,-,N,Y,N,N,N,N,N,N,Worth-It,8,2
https://masuksini.com/detail-properti/MS-0001356/rumah-dijual-jl-raya-tenggilis-surabaya/,Selatan,Gayungan,600,300,4,4,1.0,"Rp10,000,000,000",Belum,Hook,,-,-,6666666428.0,N,N,-,N,N,Y,N,N,N,N,Y,Not Worth-It,2,8
https://masuksini.com/detail-properti/MS-0029322/rumah-bagus-minimalis-american-citraland-taman-puspa-raya-tpr/,Barat,Sambikerep,302,450,5,5,2.0,"Rp5,500,000,000",Belum,Barat,,3 m,4,3666666509.0,Y,Y,5500,N,Y,N,Y,N,N,N,N,Worth-It,7,3
https://masuksini.com/detail-properti/MS-0029352/rumah-lama-lokasi-bagus/,Pusat,Gubeng,160,200,2,1,1.0,"Rp700,000,000",Belum,Utara,,-,1,466666587.5,N,N,-,N,N,N,N,N,N,N,N,Worth-It,5,5
